,Asx Code,Company Name,Finacial Year,Revenue Increase %,industry,pricediff
151,CAT,CATAPULT GROUP INTERNATIONAL LTD,6/30/2016,54.0,Technology Hardware & Equipment,-33.85462555066078
152,CXU,CAULDRON ENERGY LIMITED,6/30/2017,397.0,Energy,-19.682539682539677
153,CBC,CBG CAPITAL LIMITED,6/30/2016,512.0,Not Applic,1.2159545358871815
154,CT1,CCP TECHNOLOGIES LIMITED,6/30/2017,1604.0,Technology Hardware & Equipment,-14.19354838709677
155,CDY,CELLMID LIMITED,6/30/2016,72.0,"Pharmaceuticals, Biotechnology & Life Sciences",-1.4502487562189053
156,CLA,CELSIUS RESOURCES LIMITED.,6/30/2017,190.0,Materials,171.99558985667042
157,CTL,CENTENNIAL MINING LIMITED,6/30/2016,685.0,Materials,
158,CTP,CENTRAL PETROLEUM LIMITED,6/30/2015,177.0,Energy,-17.94310099573258
159,CNI,CENTURIA CAPITAL GROUP,6/30/2017,139.0,Diversified Financials,11.773100029343176
160,CIP,CENTURIA INDUSTRIAL REIT,6/30/2016,50.0,Real Estate,-3.053989245749165
161,CMA,CENTURIA METROPOLITAN REIT,6/30/2015,53.0,Real Estate,2.0658085569253086
162,CHN,CHALICE GOLD MINES LIMITED,6/30/2015,463.0,Materials,33.83166666666666
163,CGF,CHALLENGER LIMITED,6/30/2017,44.0,Diversified Financials,-3.7894959698761475
164,CWL,CHANT WEST HOLDINGS LIMITED,6/30/2016,134.0,Software & Services,-62.17023255813953
165,CHP,CHAPMANS LIMITED,12/31/2015,504.0,Diversified Financials,-34.114942528735625
166,CHC,CHARTER HALL GROUP,6/30/2016,52.0,Real Estate,12.93506892447107
167,CLW,CHARTER HALL LONG WALE REIT,6/30/2017,195.0,Real Estate,0.12950519242516798
168,CHZ,CHESSER RESOURCES LIMITED,6/30/2015,117.0,Materials,5.178160919540231
169,CMC,CHINA MAGNESIUM CORPORATION LIMITED,6/30/2017,16106.0,Materials,4.766269477543536
170,CDH,CHONGHERR INVESTMENTS LTD,12/31/2015,42.0,Materials,38.229508196721305
171,CRO,CIRRALTO LIMITED,6/30/2018,695.0,Software & Services,0.0
172,CNW,CIRRUS NETWORKS HOLDINGS LIMITED,6/30/2016,31.0,Software & Services,-30.72463768115941
173,CVL,CIVMEC LIMITED,6/30/2018,113.99999999999999,Capital Goods,0.0
174,CL1,CLASS LIMITED,6/30/2016,45.0,Software & Services,1.8432685431970357
175,CSS,CLEAN SEAS SEAFOOD LIMITED,6/30/2016,63.0,"Food, Beverage & Tobacco",17.559496033597764
176,CLQ,CLEAN TEQ HOLDINGS LIMITED,6/30/2016,84.0,Commercial & Professional Services,160.16361735493982
177,CVW,CLEARVIEW WEALTH LIMITED,6/30/2017,36.0,Diversified Financials,-8.985034013605441
178,CUV,CLINUVEL PHARMACEUTICALS LIMITED,6/30/2016,106.0,"Pharmaceuticals, Biotechnology & Life Sciences",37.80004393029728
179,CLV,CLOVER CORPORATION LIMITED,7/31/2016,43.0,Health Care Equipment & Services,13.767100293747378
180,CGR,CML GROUP LIMITED,6/30/2017,48.0,Commercial & Professional Services,68.21641337386018
181,CDA,CODAN LIMITED,6/30/2017,33.0,Technology Hardware & Equipment,18.52054794520548
182,CL8,COLLABORATE CORPORATION LIMITED,6/30/2016,46.0,Software & Services,53.30170777988613
183,COM,COMOPS LIMITED,12/31/2015,31.0,Software & Services,-16.323387872954758
184,CNJ,CONICO LTD,6/30/2016,140.0,Materials,77.9184861717613
185,CIO,CONNECTED IO LIMITED,6/30/2016,7238233.0,Technology Hardware & Equipment,-27.459610027855156
186,CXZ,CONNEXION MEDIA LIMITED,6/30/2016,457.0,Software & Services,-67.3652616468746
187,COG,CONSOLIDATED OPERATIONS GROUP LIMITED,6/30/2015,95.0,Not Applic,24.679159568427025
188,CGA,CONTANGO ASSET MANAGEMENT LIMITED,6/30/2017,37609.0,Diversified Financials,-47.089565687511275
189,COE,COOPER ENERGY LIMITED,6/30/2017,71.0,Energy,14.693634741225464
190,COY,COPPERMOLY LIMITED,6/30/2016,64.0,Materials,99.88913525498887
191,CTD,CORPORATE TRAVEL MANAGEMENT LIMITED,6/30/2016,34.0,Consumer Services,38.57360657974718
192,CVT,COVATA LIMITED,6/30/2018,237.0,Software & Services,0.0
193,CZR,COZIRON RESOURCES LIMITED,6/30/2016,223.0,Materials,88.33333333333329
194,CRD,CREDIBLE LABS INC.,12/31/2015,3236.9999999999995,Diversified Financials,
195,CLI,CROPLOGIC LIMITED,3/31/2016,137.0,Commercial & Professional Services,
196,CUX,CROSSLAND STRATEGIC METALS LTD,12/31/2015,149.0,Materials,-35.09132420091321
197,CM8,CROWD MOBILE LIMITED,6/30/2015,31.0,Media,-23.396165619461907
198,CV1,CV CHECK LTD,6/30/2016,171.0,Software & Services,-54.58711433756806
199,CVC,CVC LIMITED,6/30/2018,38.0,Diversified Financials,0.0
200,CYQ,CYCLIQ GROUP LTD,6/30/2016,110.00000000000001,Consumer Durables & Apparel,-84.6918367346939
201,CY5,CYGNUS GOLD LIMITED,12/31/2017,196.0,Materials,
202,CYP,CYNATA THERAPEUTICS LIMITED,6/30/2016,285.0,"Pharmaceuticals, Biotechnology & Life Sciences",32.568958245466035
203,DCN,DACIAN GOLD LIMITED,6/30/2017,147.0,Materials,33.0456658463221
204,DAU,DAMPIER GOLD LIMITED,6/30/2017,56.00000000000001,Materials,-1.5950920245398765
205,DHR,DARK HORSE RESOURCES LIMITED,6/30/2015,1023.0,Materials,0.0
