Asx Code,Asx Code,Company Name,Finacial Year,Revenue Increase %,industry,pricediff
CXL,CXL,CALIX LIMITED,6/30/2016,78.0,Not Applic,
CAN,CAN,CANN GROUP LIMITED,6/30/2018,17753.0,"Pharmaceuticals, Biotechnology & Life Sciences",0.0
CAE,CAE,CANNINDAH RESOURCES LIMITED,6/30/2017,47.0,Materials,53.55113636363641
CAQ,CAQ,CAQ HOLDINGS LIMITED,12/31/2015,219.0,Real Estate,-12.177880386983281
CVV,CVV,CARAVEL MINERALS LIMITED,6/30/2016,1696.0,Materials,-25.71526195899772
CRB,CRB,CARBINE RESOURCES LIMITED,12/31/2017,74.0,Materials,-53.71527777777778
CDV,CDV,CARDINAL RESOURCES LIMITED,6/30/2016,729.0,Materials,76.61059190031153
CAV,CAV,CARNAVALE RESOURCES LIMITED,6/30/2015,99.0,Materials,-21.646039603960386
CCE,CCE,CARNEGIE CLEAN ENERGY LIMITED,6/30/2017,366.0,Utilities,-46.545951486163304
CMD,CMD,CASSIUS MINING LIMITED,6/30/2016,267.0,Materials,-2.2053691275167795
CYL,CYL,CATALYST METALS LIMITED,6/30/2015,2109.0,Materials,63.93914680050188
CAT,CAT,CATAPULT GROUP INTERNATIONAL LTD,6/30/2016,54.0,Technology Hardware & Equipment,-33.854625550660785
CXU,CXU,CAULDRON ENERGY LIMITED,6/30/2017,397.0,Energy,-19.68253968253968
CBC,CBC,CBG CAPITAL LIMITED,6/30/2016,512.0,Not Applic,1.2159545358871815
CT1,CT1,CCP TECHNOLOGIES LIMITED,6/30/2017,1604.0,Technology Hardware & Equipment,-14.19354838709677
CDY,CDY,CELLMID LIMITED,6/30/2016,72.0,"Pharmaceuticals, Biotechnology & Life Sciences",-1.4502487562189053
CLA,CLA,CELSIUS RESOURCES LIMITED.,6/30/2017,190.0,Materials,171.99558985667042
CTL,CTL,CENTENNIAL MINING LIMITED,6/30/2016,685.0,Materials,
CIP,CIP,CENTURIA INDUSTRIAL REIT,6/30/2016,50.0,Real Estate,-3.0539892457491646
CMA,CMA,CENTURIA METROPOLITAN REIT,6/30/2015,53.0,Real Estate,2.0658085569253086
CHN,CHN,CHALICE GOLD MINES LIMITED,6/30/2015,463.0,Materials,33.83166666666666
CWL,CWL,CHANT WEST HOLDINGS LIMITED,6/30/2016,134.0,Software & Services,-62.17023255813953
CHP,CHP,CHAPMANS LIMITED,12/31/2015,504.0,Diversified Financials,-34.114942528735625
CHC,CHC,CHARTER HALL GROUP,6/30/2016,52.0,Real Estate,12.935068924471071
CLW,CLW,CHARTER HALL LONG WALE REIT,6/30/2017,195.0,Real Estate,0.12950519242516798
CHZ,CHZ,CHESSER RESOURCES LIMITED,6/30/2015,117.0,Materials,5.178160919540232
CMC,CMC,CHINA MAGNESIUM CORPORATION LIMITED,6/30/2017,16106.0,Materials,4.766269477543537
CDH,CDH,CHONGHERR INVESTMENTS LTD,12/31/2015,42.0,Materials,38.229508196721305
CRO,CRO,CIRRALTO LIMITED,6/30/2018,695.0,Software & Services,0.0
CVL,CVL,CIVMEC LIMITED,6/30/2018,114.0,Capital Goods,0.0
CL1,CL1,CLASS LIMITED,6/30/2016,45.0,Software & Services,1.843268543197036
CSS,CSS,CLEAN SEAS SEAFOOD LIMITED,6/30/2016,63.0,"Food, Beverage & Tobacco",17.559496033597764
CLQ,CLQ,CLEAN TEQ HOLDINGS LIMITED,6/30/2016,84.0,Commercial & Professional Services,160.16361735493982
CVW,CVW,CLEARVIEW WEALTH LIMITED,6/30/2017,36.0,Diversified Financials,-8.985034013605441
CUV,CUV,CLINUVEL PHARMACEUTICALS LIMITED,6/30/2016,106.0,"Pharmaceuticals, Biotechnology & Life Sciences",37.80004393029728
CLV,CLV,CLOVER CORPORATION LIMITED,7/31/2016,43.0,Health Care Equipment & Services,13.767100293747378
CDA,CDA,CODAN LIMITED,6/30/2017,33.0,Technology Hardware & Equipment,18.520547945205482
CL8,CL8,COLLABORATE CORPORATION LIMITED,6/30/2016,46.0,Software & Services,53.30170777988613
COM,COM,COMOPS LIMITED,12/31/2015,31.0,Software & Services,-16.323387872954758
CNJ,CNJ,CONICO LTD,6/30/2016,140.0,Materials,77.91848617176129
CIO,CIO,CONNECTED IO LIMITED,6/30/2016,7238233.0,Technology Hardware & Equipment,-27.45961002785516
COG,COG,CONSOLIDATED OPERATIONS GROUP LIMITED,6/30/2015,95.0,Not Applic,24.679159568427025
CGA,CGA,CONTANGO ASSET MANAGEMENT LIMITED,6/30/2017,37609.0,Diversified Financials,-47.08956568751128
COE,COE,COOPER ENERGY LIMITED,6/30/2017,71.0,Energy,14.693634741225464
COY,COY,COPPERMOLY LIMITED,6/30/2016,64.0,Materials,99.88913525498889
CTD,CTD,CORPORATE TRAVEL MANAGEMENT LIMITED,6/30/2016,34.0,Consumer Services,38.57360657974718
CVT,CVT,COVATA LIMITED,6/30/2018,237.0,Software & Services,0.0
CZR,CZR,COZIRON RESOURCES LIMITED,6/30/2016,223.0,Materials,88.3333333333333
CRD,CRD,CREDIBLE LABS INC.,12/31/2015,3236.9999999999995,Diversified Financials,
CLI,CLI,CROPLOGIC LIMITED,3/31/2016,137.0,Commercial & Professional Services,
CUX,CUX,CROSSLAND STRATEGIC METALS LTD,12/31/2015,149.0,Materials,-35.09132420091321
CV1,CV1,CV CHECK LTD,6/30/2016,171.0,Software & Services,-54.58711433756806
CVC,CVC,CVC LIMITED,6/30/2018,38.0,Diversified Financials,0.0
CY5,CY5,CYGNUS GOLD LIMITED,12/31/2017,196.0,Materials,
CYP,CYP,CYNATA THERAPEUTICS LIMITED,6/30/2016,285.0,"Pharmaceuticals, Biotechnology & Life Sciences",32.568958245466035
DCN,DCN,DACIAN GOLD LIMITED,6/30/2017,147.0,Materials,33.0456658463221
DAU,DAU,DAMPIER GOLD LIMITED,6/30/2017,56.00000000000001,Materials,-1.5950920245398763
DHR,DHR,DARK HORSE RESOURCES LIMITED,6/30/2015,1023.0,Materials,0.0
DTM,DTM,DART MINING NL,6/30/2016,200.0,Materials,-33.717693836978114
DEG,DEG,DE GREY MINING LIMITED,6/30/2017,38.0,Materials,71.32015810276685
DSX,DSX,DECIMAL SOFTWARE LIMITED,6/30/2016,117.0,Software & Services,-26.12950699043415
D13,D13,DEPARTMENT 13 INTERNATIONAL LTD,6/30/2017,179.0,Capital Goods,-27.024164184045013
DGH,DGH,DESANE GROUP HOLDINGS LIMITED,6/30/2016,144.0,Real Estate,47.823255813953494
DXS,DXS,DEXUS,6/30/2015,49.0,Real Estate,14.550108524811025
DGR,DGR,DGR GLOBAL LIMITED,6/30/2016,130.0,Materials,170.09098428453277
DMC,DMC,DIGIMATIC GROUP LIMITED,3/31/2018,57.99999999999999,Software & Services,0.0
DXB,DXB,DIMERIX LIMITED,6/30/2016,156.0,"Pharmaceuticals, Biotechnology & Life Sciences",1.222680913064594
DCL,DCL,DOMACOM LIMITED,6/30/2016,10732.0,Diversified Financials,-50.6188340807175
DHG,DHG,DOMAIN HOLDINGS AUSTRALIA LIMITED.,6/24/2018,105.0,Software & Services,0.0
DNA,DNA,DONACO INTERNATIONAL LIMITED,6/30/2016,650.0,Consumer Services,-9.37961882535978
DRM,DRM,DORAY MINERALS LIMITED,6/30/2017,40.0,Materials,8.285714285714286
DVL,DVL,DORSAVI LTD,6/30/2016,122.0,"Pharmaceuticals, Biotechnology & Life Sciences",-14.095744680851068
DOW,DOW,DOWNER EDI LIMITED,6/30/2018,66.0,Commercial & Professional Services,0.0
DRK,DRK,DRAKE RESOURCES LIMITED,6/30/2015,36.0,Materials,-51.750037554453975
DSE,DSE,DROPSUITE LIMITED,12/31/2015,384.0,Software & Services,62.23123123123121
DUB,DUB,DUBBER CORPORATION LIMITED,6/30/2016,636.0,Software & Services,-34.615806805708004
D2O,D2O,DUXTON WATER LIMITED,12/31/2017,225.0,Utilities,7.401403249630722
DWS,DWS,DWS LIMITED,6/30/2016,54.0,Software & Services,25.23651711739877
E2M,E2M,E2 METALS LIMITED,6/30/2016,44.0,Materials,
EHH,EHH,EAGLE HEALTH HOLDINGS LIMITED,12/31/2015,43.0,Household & Personal Products,
EAS,EAS,EASTON INVESTMENTS LIMITED,6/30/2018,195.0,Diversified Financials,0.0
ECG,ECG,ECARGO HOLDINGS LIMITED,12/31/2015,249.00000000000003,Commercial & Professional Services,-3.6832479882955367
EAR,EAR,ECHO RESOURCES LIMITED,6/30/2015,50.0,Materials,125.46541025051708
EPM,EPM,ECLIPSE METALS LIMITED.,6/30/2017,81.0,Energy,-6.683804627249353
EDE,EDE,EDEN INNOVATIONS LTD,6/30/2018,38.0,Energy,0.0
EGA,EGA,EGAN STREET RESOURCES LIMITED,6/30/2017,2975.0,Materials,-2.8931185944363107
EDC,EDC,EILDON CAPITAL LIMITED,6/30/2016,65.0,Diversified Financials,
ENN,ENN,ELANOR INVESTORS GROUP,6/30/2017,39.0,Consumer Services,-6.8300735689933605
ERF,ERF,ELANOR RETAIL PROPERTY FUND,6/30/2017,146.0,Real Estate,-2.7415730337078665
ELT,ELT,ELEMENTOS LIMITED,6/30/2015,665.0,Materials,-10.291262135922326
EXL,EXL,ELIXINOL GLOBAL LIMITED,6/30/2004,32.0,Household & Personal Products,
ELO,ELO,ELMO SOFTWARE LIMITED,6/30/2017,36.0,Software & Services,107.36006963042317
EMB,EMB,EMBELTON LIMITED,6/30/2018,34.0,Capital Goods,0.0
EMR,EMR,EMERALD RESOURCES NL,6/30/2016,6602.0,Materials,16.147420147420153
EML,EML,EML PAYMENTS LIMITED,6/30/2016,61.0,Software & Services,16.386666666666667
ERM,ERM,EMMERSON RESOURCES LIMITED,6/30/2015,69.0,Materials,152.74719101123586
EME,EME,ENERGY METALS LTD,12/31/2016,92.0,Energy,37.81909547738695
EOL,EOL,ENERGY ONE LIMITED,6/30/2018,71.0,Software & Services,0.0
EXO,EXO,ENNOX GROUP LTD,6/30/2015,257.0,Diversified Financials,-57.37113402061853
ETE,ETE,ENTEK ENERGY LTD,6/30/2017,498.00000000000006,Energy,-15.900826446280991
ECT,ECT,ENVIRONMENTAL CLEAN TECHNOLOGIES LIMITED.,6/30/2016,567.0,Commercial & Professional Services,-13.425814234016881
EGH,EGH,EUREKA GROUP HOLDINGS LIMITED,6/30/2016,78.0,Real Estate,-40.51562068012165
EUR,EUR,EUROPEAN LITHIUM LIMITED,6/30/2016,12699903.0,Materials,14.99725274725275
EZL,EZL,EUROZ LIMITED,6/30/2017,41.0,Diversified Financials,8.290642969158393
ED1,ED1,EVANS DIXON LIMITED,6/30/2018,39.0,Diversified Financials,0.0
EVE,EVE,EVE INVESTMENTS LIMITED,6/30/2017,4800.0,Diversified Financials,51.008174386920956
EVN,EVN,EVOLUTION MINING LIMITED,6/30/2016,100.0,Materials,12.547275054864668
EVO,EVO,EVOLVE EDUCATION GROUP LIMITED,3/31/2016,248.0,Consumer Services,-4.030460008288438
EXP,EXP,EXPERIENCE CO LIMITED,6/30/2016,122.0,Consumer Services,32.15021129466001
FTT,FTT,FACTOR THERAPEUTICS LIMITED,6/30/2017,803.9999999999999,"Pharmaceuticals, Biotechnology & Life Sciences",-24.120281509916836
FFC,FFC,FARMAFORCE LIMITED,6/30/2016,453.0,Health Care Equipment & Services,-29.22587486744433
FBR,FBR,FASTBRICK ROBOTICS LTD,6/30/2016,31.0,Capital Goods,181.30153321976158
FFG,FFG,FATFISH INTERNET GROUP LTD,12/31/2016,366.0,Diversified Financials,-29.337816864976716
